timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646598045995,3088,Climate Request-1,200,OK,Project Demo 1-21,text,true,,106591,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,3016,0,0
1646598046420,2836,Climate Request,200,OK,Project Demo 1-12,text,true,,108114,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,134,0,0
1646598046420,134,Climate Request-0,301,Moved Permanently,Project Demo 1-12,text,true,,1533,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,134,0,0
1646598046555,2701,Climate Request-1,200,OK,Project Demo 1-12,text,true,,106581,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,2641,0,0
1646598045986,3293,Climate Request,200,OK,Project Demo 1-15,text,true,,108130,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,476,0,0
1646598045986,476,Climate Request-0,301,Moved Permanently,Project Demo 1-15,text,true,,1543,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,476,0,0
1646598046462,2817,Climate Request-1,200,OK,Project Demo 1-15,text,true,,106587,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,2757,0,0
1646598046386,2977,Climate Request,200,OK,Project Demo 1-5,text,true,,108130,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,165,0,0
1646598046386,165,Climate Request-0,301,Moved Permanently,Project Demo 1-5,text,true,,1545,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,165,0,0
1646598046551,2812,Climate Request-1,200,OK,Project Demo 1-5,text,true,,106585,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,2741,0,0
1646598046386,3197,Climate Request,200,OK,Project Demo 1-19,text,true,,108124,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,160,0,0
1646598046386,160,Climate Request-0,301,Moved Permanently,Project Demo 1-19,text,true,,1531,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,160,0,0
1646598046547,3036,Climate Request-1,200,OK,Project Demo 1-19,text,true,,106593,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,2977,0,0
1646598046427,3211,Climate Request,200,OK,Project Demo 1-6,text,true,,108118,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,129,0,0
1646598046427,129,Climate Request-0,301,Moved Permanently,Project Demo 1-6,text,true,,1533,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,129,0,0
1646598046556,3082,Climate Request-1,200,OK,Project Demo 1-6,text,true,,106585,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,2991,0,0
1646598046295,3384,Climate Request,200,OK,Project Demo 1-8,text,true,,108122,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,177,0,0
1646598046295,177,Climate Request-0,301,Moved Permanently,Project Demo 1-8,text,true,,1531,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,177,0,0
1646598046472,3207,Climate Request-1,200,OK,Project Demo 1-8,text,true,,106591,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,3131,0,0
1646598046579,3168,Climate Request,200,OK,Project Demo 1-7,text,true,,108126,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,94,0,0
1646598046579,94,Climate Request-0,301,Moved Permanently,Project Demo 1-7,text,true,,1541,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,94,0,0
1646598046674,3073,Climate Request-1,200,OK,Project Demo 1-7,text,true,,106585,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,2742,0,0
1646598046502,3253,Climate Request,200,OK,Project Demo 1-16,text,true,,108120,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,99,0,0
1646598046502,99,Climate Request-0,301,Moved Permanently,Project Demo 1-16,text,true,,1537,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,99,0,0
1646598046601,3154,Climate Request-1,200,OK,Project Demo 1-16,text,true,,106583,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,3073,0,0
1646598046406,3461,Climate Request,200,OK,Project Demo 1-10,text,true,,108122,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,190,0,0
1646598046406,191,Climate Request-0,301,Moved Permanently,Project Demo 1-10,text,true,,1535,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,190,0,0
1646598046597,3270,Climate Request-1,200,OK,Project Demo 1-10,text,true,,106587,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,3209,0,0
1646598046357,3528,Climate Request,200,OK,Project Demo 1-9,text,true,,108114,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,170,0,0
1646598046357,170,Climate Request-0,301,Moved Permanently,Project Demo 1-9,text,true,,1533,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,170,0,0
1646598046527,3358,Climate Request-1,200,OK,Project Demo 1-9,text,true,,106581,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,3301,0,0
1646598046391,3597,Climate Request,200,OK,Project Demo 1-18,text,true,,108118,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,196,0,0
1646598046391,196,Climate Request-0,301,Moved Permanently,Project Demo 1-18,text,true,,1537,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,196,0,0
1646598046587,3401,Climate Request-1,200,OK,Project Demo 1-18,text,true,,106581,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,3342,0,0
1646598046446,3564,Climate Request,200,OK,Project Demo 1-22,text,true,,108120,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,115,0,0
1646598046446,115,Climate Request-0,301,Moved Permanently,Project Demo 1-22,text,true,,1537,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,115,0,0
1646598046561,3449,Climate Request-1,200,OK,Project Demo 1-22,text,true,,106583,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,3391,0,0
1646598046455,3722,Climate Request,200,OK,Project Demo 1-24,text,true,,108122,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,143,0,0
1646598046455,143,Climate Request-0,301,Moved Permanently,Project Demo 1-24,text,true,,1535,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,143,0,0
1646598046598,3579,Climate Request-1,200,OK,Project Demo 1-24,text,true,,106587,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,3507,0,0
1646598046397,4101,Climate Request,200,OK,Project Demo 1-2,text,true,,108122,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,204,0,0
1646598046397,204,Climate Request-0,301,Moved Permanently,Project Demo 1-2,text,true,,1533,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,204,0,0
1646598046601,3897,Climate Request-1,200,OK,Project Demo 1-2,text,true,,106589,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,3784,0,0
