timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.6466E+12,6676,HomePage Request,200,OK,Project Demo 1-13,text,FALSE,"The operation lasted too long: It took 6,676 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103984,351,25,25,https://www.fibaro.com/en/,183,0,43
1.6466E+12,183,HomePage Request-0,301,Moved Permanently,Project Demo 1-13,text,TRUE,,1507,116,25,25,http://www.fibaro.com/,183,0,43
1.6466E+12,6024,HomePage Request-1,301,Moved Permanently,Project Demo 1-13,text,TRUE,,1041,116,25,25,https://www.fibaro.com/,6024,0,5125
1.6466E+12,468,HomePage Request-2,200,OK,Project Demo 1-13,text,TRUE,,101436,119,25,25,https://www.fibaro.com/en/,300,0,0
1.6466E+12,6615,HomePage Request,200,OK,Project Demo 1-15,text,FALSE,"The operation lasted too long: It took 6,615 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103986,351,25,25,https://www.fibaro.com/en/,220,0,64
1.6466E+12,220,HomePage Request-0,301,Moved Permanently,Project Demo 1-15,text,TRUE,,1507,116,25,25,http://www.fibaro.com/,220,0,64
1.6466E+12,5884,HomePage Request-1,301,Moved Permanently,Project Demo 1-15,text,TRUE,,1039,116,25,25,https://www.fibaro.com/,5884,0,4941
1.6466E+12,510,HomePage Request-2,200,OK,Project Demo 1-15,text,TRUE,,101440,119,25,25,https://www.fibaro.com/en/,170,0,0
1.6466E+12,6555,HomePage Request,200,OK,Project Demo 1-23,text,FALSE,"The operation lasted too long: It took 6,555 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103992,351,25,25,https://www.fibaro.com/en/,153,0,41
1.6466E+12,153,HomePage Request-0,301,Moved Permanently,Project Demo 1-23,text,TRUE,,1509,116,25,25,http://www.fibaro.com/,153,0,41
1.6466E+12,5481,HomePage Request-1,301,Moved Permanently,Project Demo 1-23,text,TRUE,,1043,116,25,25,https://www.fibaro.com/,5481,0,4714
1.6466E+12,920,HomePage Request-2,200,OK,Project Demo 1-23,text,TRUE,,101440,119,25,25,https://www.fibaro.com/en/,219,0,0
1.6466E+12,7197,HomePage Request,200,OK,Project Demo 1-8,text,FALSE,"The operation lasted too long: It took 7,197 milliseconds,
 but should not have lasted longer than 5,000 milliseconds.",103982,351,25,25,https://www.fibaro.com/en/,268,0,90
1.6466E+12,273,HomePage Request-0,301,Moved Permanently,Project Demo 1-8,text,TRUE,,1505,116,25,25,http://www.fibaro.com/,268,0,90
1.6466E+12,6416,HomePage Request-1,301,Moved Permanently,Project Demo 1-8,text,TRUE,,1037,116,25,25,https://www.fibaro.com/,6416,0,5174
1.6466E+12,494,HomePage Request-2,200,OK,Project Demo 1-8,text,TRUE,,101440,119,25,25,https://www.fibaro.com/en/,193,0,0
